Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,137.369995,141.979996,136.259995,139.110001,134.289902,12525700
2019-04-18,139.000000,140.490005,138.699997,140.330002,135.467621,4960000
2019-04-22,139.419998,140.559998,138.479996,138.889999,134.077515,4494000
2019-04-23,139.149994,140.919998,138.940002,140.440002,135.573807,4462200
2019-04-24,140.600006,141.309998,139.779999,139.949997,135.100769,2774900
2019-04-25,139.699997,139.750000,137.710007,138.630005,133.826523,2910100
2019-04-26,139.339996,139.889999,138.809998,139.440002,134.608459,2319800
2019-04-29,139.149994,139.630005,138.809998,139.050003,134.231979,2958300
2019-04-30,139.110001,140.440002,138.679993,140.270004,135.409698,4638800
2019-05-01,140.550003,141.809998,140.169998,140.559998,135.689636,3053700
2019-05-02,140.500000,141.279999,139.410004,139.589996,134.753250,3541400
2019-05-03,139.699997,141.000000,139.630005,140.250000,135.390396,2579900
2019-05-06,138.300003,140.690002,137.899994,140.380005,135.515884,2793300
2019-05-07,139.149994,139.509995,136.190002,137.639999,132.870834,4726800
2019-05-08,137.770004,138.699997,137.130005,138.000000,133.218353,3818900
2019-05-09,134.889999,135.580002,133.029999,135.339996,132.202454,4192700
2019-05-10,134.880005,135.750000,132.419998,135.320007,132.182938,3977600
2019-05-13,133.279999,133.570007,130.960007,131.419998,128.373337,4958000
2019-05-14,131.820007,134.320007,131.679993,133.309998,130.219513,3280400
2019-05-15,132.589996,134.589996,132.369995,134.399994,131.284241,2551000
2019-05-16,134.740005,136.110001,134.639999,135.880005,132.729950,3017300
2019-05-17,134.679993,135.410004,133.940002,134.320007,131.206116,2619100
2019-05-20,133.529999,135.429993,132.929993,135.119995,131.987564,3264500
2019-05-21,136.119995,137.059998,135.789993,136.449997,133.286728,2503500
2019-05-22,136.000000,136.750000,135.710007,136.350006,133.189056,1849800
2019-05-23,135.130005,135.130005,130.440002,132.389999,129.320847,5343400
2019-05-24,133.529999,134.250000,131.589996,132.279999,129.213394,2596100
2019-05-28,132.130005,132.639999,130.270004,130.460007,127.435608,4908800
2019-05-29,130.000000,130.279999,128.320007,129.690002,126.683449,3679000
2019-05-30,129.740005,129.970001,128.929993,129.570007,126.566223,2741900
2019-05-31,128.440002,128.440002,126.849998,126.989998,124.046028,3539300
2019-06-03,127.099998,128.559998,127.059998,128.270004,125.296364,4266900
2019-06-04,129.559998,132.740005,129.089996,132.690002,129.613907,3913500
2019-06-05,133.380005,133.610001,130.470001,131.490005,128.441727,3161300
2019-06-06,132.190002,132.649994,130.899994,132.220001,129.154785,2298200
2019-06-07,132.470001,134.720001,132.210007,133.309998,130.219513,2553400
2019-06-10,134.380005,135.350006,133.910004,134.740005,131.616364,2911300
2019-06-11,135.320007,136.460007,135.050003,135.949997,132.798325,3407300
2019-06-12,135.559998,135.940002,134.410004,134.869995,131.743347,2254700
2019-06-13,135.130005,136.270004,135.089996,135.759995,132.612717,2955300
2019-06-14,135.440002,135.880005,134.429993,135.149994,132.016861,2193300
2019-06-17,135.389999,136.029999,134.699997,134.949997,131.821503,2194100
2019-06-18,135.199997,137.190002,135.199997,136.380005,133.218353,2914700
2019-06-19,136.429993,138.360001,136.240005,137.080002,133.902115,2382400
2019-06-20,138.929993,139.539993,138.199997,138.850006,135.631088,3071000
2019-06-21,138.440002,139.539993,138.389999,139.199997,135.972961,5288700
2019-06-24,139.199997,140.149994,139.050003,139.350006,136.119507,2186000
2019-06-25,139.460007,139.550003,138.130005,138.360001,135.152451,2801200
2019-06-26,138.869995,139.679993,138.410004,138.520004,135.308746,2284600
2019-06-27,138.720001,139.300003,137.949997,138.520004,135.308746,2149800
2019-06-28,138.570007,139.139999,137.839996,137.899994,134.703110,6153900
2019-07-01,139.600006,141.490005,139.279999,139.880005,136.637207,3377700
2019-07-02,139.750000,140.429993,139.470001,140.220001,136.969330,2409700
2019-07-03,140.720001,141.820007,140.429993,141.539993,138.258713,1930400
2019-07-05,140.869995,141.490005,139.910004,141.380005,138.102448,2134700
2019-07-08,141.050003,141.289993,140.270004,140.570007,137.311218,2395300
2019-07-09,140.610001,140.990005,139.130005,139.330002,136.099960,3365200
2019-07-10,140.000000,141.910004,139.789993,140.470001,137.213531,2513900
2019-07-11,140.789993,141.580002,140.300003,141.240005,137.965698,2132900
2019-07-12,141.919998,142.919998,141.660004,142.740005,139.430908,2786200
2019-07-15,142.889999,143.509995,142.119995,143.320007,139.997482,2368300
2019-07-16,143.169998,144.039993,143.020004,143.529999,140.202591,3474700
2019-07-17,143.610001,143.800003,141.949997,143.070007,139.753265,6064300
2019-07-18,142.500000,150.309998,142.199997,149.630005,146.161179,12695400
2019-07-19,149.960007,151.580002,149.550003,149.679993,146.210007,7290700
2019-07-22,150.160004,151.940002,149.699997,149.740005,146.268631,4092600
2019-07-23,150.570007,150.720001,148.380005,150.380005,146.893799,3742200
2019-07-24,150.119995,151.449997,149.199997,150.029999,146.551895,2952400
2019-07-25,149.820007,150.619995,148.610001,150.389999,146.903564,3102100
2019-07-26,151.000000,151.410004,150.100006,151.360001,147.851074,2904300
2019-07-29,151.110001,151.479996,150.320007,150.880005,147.382202,2075500
2019-07-30,150.000000,150.399994,149.220001,149.770004,146.297943,2632700
2019-07-31,149.699997,150.179993,146.389999,148.240005,144.803421,3722900
2019-08-01,148.899994,152.820007,148.500000,150.320007,146.835190,6344000
2019-08-02,149.029999,152.949997,145.589996,147.250000,143.836349,8101700
2019-08-05,144.979996,145.100006,139.149994,140.759995,137.496811,7114900
2019-08-06,142.029999,142.470001,139.309998,140.729996,137.467499,5070700
2019-08-07,138.740005,139.580002,136.410004,139.110001,135.885056,5931900
2019-08-08,138.449997,140.419998,137.759995,140.100006,138.464600,5261100
2019-08-09,139.270004,139.309998,135.350006,136.130005,134.540939,5244600
2019-08-12,135.660004,135.869995,133.179993,134.119995,132.554398,3895600
2019-08-13,133.800003,136.570007,132.809998,135.789993,134.204895,4522100
